cell,block,fingerprint,cachedValue,sharedSi,functions,dependencySheets,formula,normalizedFormula
V24,UTILIZATION,b070dbb90878a1f60ba9,0,7,AND | IF | IFERROR,,"IFERROR(IF(AND(1/L24>$V$19,1/L24<=$W$19),1/L24,0),"""")","IFERROR(IF(AND(1/RC[-10]>R19C22,1/RC[-10]<=R19C23),1/RC[-10],0),"""")"
W24,UTILIZATION,de0a5dbfc5cc172602ba,0,8,AND | IF | IFERROR,,"IFERROR(IF(AND(1/L24>$W$19,1/L24<=$X$19),1/L24,0),"""")","IFERROR(IF(AND(1/RC[-11]>R19C23,1/RC[-11]<=R19C24),1/RC[-11],0),"""")"
X24,UTILIZATION,102bfd8013f27758e7c0,0.97745369229843615,9,AND | IF | IFERROR,,"IFERROR(IF(AND(1/L24>$X$19,1/L24<=$Y$19),1/L24,0),"""")","IFERROR(IF(AND(1/RC[-12]>R19C24,1/RC[-12]<=R19C25),1/RC[-12],0),"""")"
Y24,UTILIZATION,2d4c8f3ea18940579bdf,0,10,IF | IFERROR,,"IFERROR(IF(1/L24>$Y$19,1/L24,0),"""")","IFERROR(IF(1/RC[-13]>R19C25,1/RC[-13],0),"""")"
Z24,UTILIZATION,28ac2bdd4846fc6e2a7f,2.85,11,IF,,"IF(N24<>"""",(N24-$N$17)/1000,1/0)","IF(RC[-12]<>"""",(RC[-12]-R17C14)/1000,1/0)"
AA24,UTILIZATION,1aafe524f4bc30e7637c,4.91,12,IF,,"IF(O24<>"""",(O24-$O$17)/1000,1/0)","IF(RC[-12]<>"""",(RC[-12]-R17C15)/1000,1/0)"
A25,JOIN,5ea8e873f07aa89e502e,1,0,VLOOKUP,,"VLOOKUP(B25,Q:U,5,0)","VLOOKUP(RC[+1],Q:U,5,0)"
D25,JOIN,f5205744725a2f66161f,C250,1,VLOOKUP,,"VLOOKUP(B25,Q:U,2,0)","VLOOKUP(RC[-2],Q:U,2,0)"
H25,JOIN,34eab90c394d3c1042b9,250,2,VLOOKUP,,"VLOOKUP(B25,Q:U,3,0)","VLOOKUP(RC[-6],Q:U,3,0)"
I25,JOIN,316a886ee18efca0c3ce,350,3,VLOOKUP,,"VLOOKUP(B25,Q:U,4,0)","VLOOKUP(RC[-7],Q:U,4,0)"
J25,STATUS,f7cb8b3574809d50071f,Đài 1 cọc,4,NHOMCOC,,"NhomCoc(A25,$A$1,$A$2)","NHOMCOC(RC[-9],R1C1,R2C1)"
K25,UNCLASSIFIED,8c7575893a40f2d6662a,304.34782608695656,13,,,I25/$H$10,RC[-2]/R10C8
L25,UTILIZATION,668b1c1dbfcf6df7c7f2,1.0133522227677607,5,IFERROR,,"IFERROR(K25/F25,"""")","IFERROR(RC[-1]/RC[-6],"""")"
M25,STATUS,cc605bcd1178ce4c0905,OK,6,IF,,"IF(L25<1, ""NOT OK"",""OK"")","IF(RC[-1]<1,""NOTOK"",""OK"")"
N25,JOIN,df342480cfd1e9f94067,4070.0000000000005,,VLOOKUP,Point Coordinates,"VLOOKUP(C25,'Point Coordinates'!$A:$D,2,0)*1000","VLOOKUP(RC[-11],'POINTCOORDINATES'!$A:$D,2,0)*1000"
O25,JOIN,49309262070579ea9998,5480,,VLOOKUP,Point Coordinates,"VLOOKUP(C25,'Point Coordinates'!$A:$D,3,0)*1000","VLOOKUP(RC[-12],'POINTCOORDINATES'!$A:$D,3,0)*1000"
V25,UTILIZATION,b070dbb90878a1f60ba9,0,7,AND | IF | IFERROR,,"IFERROR(IF(AND(1/L25>$V$19,1/L25<=$W$19),1/L25,0),"""")","IFERROR(IF(AND(1/RC[-10]>R19C22,1/RC[-10]<=R19C23),1/RC[-10],0),"""")"
W25,UTILIZATION,de0a5dbfc5cc172602ba,0,8,AND | IF | IFERROR,,"IFERROR(IF(AND(1/L25>$W$19,1/L25<=$X$19),1/L25,0),"""")","IFERROR(IF(AND(1/RC[-11]>R19C23,1/RC[-11]<=R19C24),1/RC[-11],0),"""")"
X25,UTILIZATION,102bfd8013f27758e7c0,0.98682370999168301,9,AND | IF | IFERROR,,"IFERROR(IF(AND(1/L25>$X$19,1/L25<=$Y$19),1/L25,0),"""")","IFERROR(IF(AND(1/RC[-12]>R19C24,1/RC[-12]<=R19C25),1/RC[-12],0),"""")"
Y25,UTILIZATION,2d4c8f3ea18940579bdf,0,10,IF | IFERROR,,"IFERROR(IF(1/L25>$Y$19,1/L25,0),"""")","IFERROR(IF(1/RC[-13]>R19C25,1/RC[-13],0),"""")"
Z25,UTILIZATION,28ac2bdd4846fc6e2a7f,3.5900000000000003,11,IF,,"IF(N25<>"""",(N25-$N$17)/1000,1/0)","IF(RC[-12]<>"""",(RC[-12]-R17C14)/1000,1/0)"
AA25,UTILIZATION,1aafe524f4bc30e7637c,5,12,IF,,"IF(O25<>"""",(O25-$O$17)/1000,1/0)","IF(RC[-12]<>"""",(RC[-12]-R17C15)/1000,1/0)"
A26,JOIN,5ea8e873f07aa89e502e,1,0,VLOOKUP,,"VLOOKUP(B26,Q:U,5,0)","VLOOKUP(RC[+1],Q:U,5,0)"
D26,JOIN,f5205744725a2f66161f,C250,1,VLOOKUP,,"VLOOKUP(B26,Q:U,2,0)","VLOOKUP(RC[-2],Q:U,2,0)"
H26,JOIN,34eab90c394d3c1042b9,250,2,VLOOKUP,,"VLOOKUP(B26,Q:U,3,0)","VLOOKUP(RC[-6],Q:U,3,0)"
I26,JOIN,316a886ee18efca0c3ce,350,3,VLOOKUP,,"VLOOKUP(B26,Q:U,4,0)","VLOOKUP(RC[-7],Q:U,4,0)"
J26,STATUS,f7cb8b3574809d50071f,Đài 1 cọc,4,NHOMCOC,,"NhomCoc(A26,$A$1,$A$2)","NHOMCOC(RC[-9],R1C1,R2C1)"
K26,UNCLASSIFIED,8c7575893a40f2d6662a,304.34782608695656,13,,,I26/$H$10,RC[-2]/R10C8
L26,UTILIZATION,668b1c1dbfcf6df7c7f2,1.0143387154043619,5,IFERROR,,"IFERROR(K26/F26,"""")","IFERROR(RC[-1]/RC[-6],"""")"
M26,STATUS,cc605bcd1178ce4c0905,OK,6,IF,,"IF(L26<1, ""NOT OK"",""OK"")","IF(RC[-1]<1,""NOTOK"",""OK"")"
N26,JOIN,df342480cfd1e9f94067,4810,,VLOOKUP,Point Coordinates,"VLOOKUP(C26,'Point Coordinates'!$A:$D,2,0)*1000","VLOOKUP(RC[-11],'POINTCOORDINATES'!$A:$D,2,0)*1000"
O26,JOIN,49309262070579ea9998,5570,,VLOOKUP,Point Coordinates,"VLOOKUP(C26,'Point Coordinates'!$A:$D,3,0)*1000","VLOOKUP(RC[-12],'POINTCOORDINATES'!$A:$D,3,0)*1000"
V26,UTILIZATION,b070dbb90878a1f60ba9,0,7,AND | IF | IFERROR,,"IFERROR(IF(AND(1/L26>$V$19,1/L26<=$W$19),1/L26,0),"""")","IFERROR(IF(AND(1/RC[-10]>R19C22,1/RC[-10]<=R19C23),1/RC[-10],0),"""")"
W26,UTILIZATION,de0a5dbfc5cc172602ba,0,8,AND | IF | IFERROR,,"IFERROR(IF(AND(1/L26>$W$19,1/L26<=$X$19),1/L26,0),"""")","IFERROR(IF(AND(1/RC[-11]>R19C23,1/RC[-11]<=R19C24),1/RC[-11],0),"""")"
X26,UTILIZATION,102bfd8013f27758e7c0,0.98586397700629436,9,AND | IF | IFERROR,,"IFERROR(IF(AND(1/L26>$X$19,1/L26<=$Y$19),1/L26,0),"""")","IFERROR(IF(AND(1/RC[-12]>R19C24,1/RC[-12]<=R19C25),1/RC[-12],0),"""")"
Y26,UTILIZATION,2d4c8f3ea18940579bdf,0,10,IF | IFERROR,,"IFERROR(IF(1/L26>$Y$19,1/L26,0),"""")","IFERROR(IF(1/RC[-13]>R19C25,1/RC[-13],0),"""")"
Z26,UTILIZATION,28ac2bdd4846fc6e2a7f,4.33,11,IF,,"IF(N26<>"""",(N26-$N$17)/1000,1/0)","IF(RC[-12]<>"""",(RC[-12]-R17C14)/1000,1/0)"
AA26,UTILIZATION,1aafe524f4bc30e7637c,5.09,12,IF,,"IF(O26<>"""",(O26-$O$17)/1000,1/0)","IF(RC[-12]<>"""",(RC[-12]-R17C15)/1000,1/0)"
A27,JOIN,5ea8e873f07aa89e502e,1,0,VLOOKUP,,"VLOOKUP(B27,Q:U,5,0)","VLOOKUP(RC[+1],Q:U,5,0)"
D27,JOIN,f5205744725a2f66161f,C250,1,VLOOKUP,,"VLOOKUP(B27,Q:U,2,0)","VLOOKUP(RC[-2],Q:U,2,0)"
H27,JOIN,34eab90c394d3c1042b9,250,2,VLOOKUP,,"VLOOKUP(B27,Q:U,3,0)","VLOOKUP(RC[-6],Q:U,3,0)"
I27,JOIN,316a886ee18efca0c3ce,350,3,VLOOKUP,,"VLOOKUP(B27,Q:U,4,0)","VLOOKUP(RC[-7],Q:U,4,0)"
J27,STATUS,f7cb8b3574809d50071f,Đài 1 cọc,4,NHOMCOC,,"NhomCoc(A27,$A$1,$A$2)","NHOMCOC(RC[-9],R1C1,R2C1)"
K27,UNCLASSIFIED,8c7575893a40f2d6662a,304.34782608695656,13,,,I27/$H$10,RC[-2]/R10C8
L27,UTILIZATION,668b1c1dbfcf6df7c7f2,1.0030787798888288,5,IFERROR,,"IFERROR(K27/F27,"""")","IFERROR(RC[-1]/RC[-6],"""")"
M27,STATUS,cc605bcd1178ce4c0905,OK,6,IF,,"IF(L27<1, ""NOT OK"",""OK"")","IF(RC[-1]<1,""NOTOK"",""OK"")"
N27,JOIN,df342480cfd1e9f94067,7190,,VLOOKUP,Point Coordinates,"VLOOKUP(C27,'Point Coordinates'!$A:$D,2,0)*1000","VLOOKUP(RC[-11],'POINTCOORDINATES'!$A:$D,2,0)*1000"
O27,JOIN,49309262070579ea9998,5720,,VLOOKUP,Point Coordinates,"VLOOKUP(C27,'Point Coordinates'!$A:$D,3,0)*1000","VLOOKUP(RC[-12],'POINTCOORDINATES'!$A:$D,3,0)*1000"
V27,UTILIZATION,b070dbb90878a1f60ba9,0,7,AND | IF | IFERROR,,"IFERROR(IF(AND(1/L27>$V$19,1/L27<=$W$19),1/L27,0),"""")","IFERROR(IF(AND(1/RC[-10]>R19C22,1/RC[-10]<=R19C23),1/RC[-10],0),"""")"
W27,UTILIZATION,de0a5dbfc5cc172602ba,0,8,AND | IF | IFERROR,,"IFERROR(IF(AND(1/L27>$W$19,1/L27<=$X$19),1/L27,0),"""")","IFERROR(IF(AND(1/RC[-11]>R19C23,1/RC[-11]<=R19C24),1/RC[-11],0),"""")"
X27,UTILIZATION,102bfd8013f27758e7c0,0.99693066990294621,9,AND | IF | IFERROR,,"IFERROR(IF(AND(1/L27>$X$19,1/L27<=$Y$19),1/L27,0),"""")","IFERROR(IF(AND(1/RC[-12]>R19C24,1/RC[-12]<=R19C25),1/RC[-12],0),"""")"
Y27,UTILIZATION,2d4c8f3ea18940579bdf,0,10,IF | IFERROR,,"IFERROR(IF(1/L27>$Y$19,1/L27,0),"""")","IFERROR(IF(1/RC[-13]>R19C25,1/RC[-13],0),"""")"
Z27,UTILIZATION,28ac2bdd4846fc6e2a7f,6.71,11,IF,,"IF(N27<>"""",(N27-$N$17)/1000,1/0)","IF(RC[-12]<>"""",(RC[-12]-R17C14)/1000,1/0)"
AA27,UTILIZATION,1aafe524f4bc30e7637c,5.24,12,IF,,"IF(O27<>"""",(O27-$O$17)/1000,1/0)","IF(RC[-12]<>"""",(RC[-12]-R17C15)/1000,1/0)"
A28,JOIN,5ea8e873f07aa89e502e,1,0,VLOOKUP,,"VLOOKUP(B28,Q:U,5,0)","VLOOKUP(RC[+1],Q:U,5,0)"
D28,JOIN,f5205744725a2f66161f,C250,1,VLOOKUP,,"VLOOKUP(B28,Q:U,2,0)","VLOOKUP(RC[-2],Q:U,2,0)"
