Story,Pier,CaseCombo,Location,P,V2,V3,T,M2,M3
T2,C25,EULS Max,0,-1207.7181014937044,11.483288496286011,29.31417147745472,0.48302194881150934,125.62739625616369,44.62980153021878
T2,C25,EULS Max,2.125,-1196.2565769687042,11.483288496286011,29.31417147745472,0.48302194881150934,63.33478186657243,20.227813475611008
T2,C25,EULS Max,4.25,-1184.7950524437042,11.483288496286011,29.31417147745472,0.48302194881150934,49.25712316978935,41.73992946461354
T2,C25,EULS Min,0,-1584.3093925805797,-22.990293427083525,-43.97913015088221,-0.5898446525726685,-139.834078738399,-58.146651166178096
T2,C25,EULS Min,2.125,-1572.8478680555795,-22.990293427083525,-43.97913015088221,-0.5898446525726685,-46.37842716777432,-9.292277633625607
T2,C25,EULS Min,4.25,-1561.3863435305796,-22.990293427083525,-43.97913015088221,-0.5898446525726685,1.0421674769811453,-4.174174578996766
T2,C26,EULS Max,0,-582.7019913570591,10.833624762332992,30.058205985439805,0.48302194881150934,126.72360709515065,41.071004406956305
T2,C26,EULS Max,2.125,-571.2404668320589,10.833624762332992,30.058205985439805,0.48302194881150934,62.84991937609109,18.049551786998705
T2,C26,EULS Max,4.25,-559.778942307059,10.833624762332992,30.058205985439805,0.48302194881150934,43.85934775152043,30.885886297247406
T2,C26,EULS Min,0,-835.4273469365411,-18.509216002397455,-41.44541125543142,-0.5898446525726685,-136.10106624189405,-49.68321236448861
T2,C26,EULS Min,2.125,-823.965822411541,-18.509216002397455,-41.44541125543142,-0.5898446525726685,-48.02956732410231,-10.351128359394018
T2,C26,EULS Min,4.25,-812.504297886541,-18.509216002397455,-41.44541125543142,-0.5898446525726685,-1.0237683429684878,-4.971900832958902
T2,C27,EULS Max,0,-1147.621924389854,17.890173446980015,28.88343584243285,0.48302194881150934,122.35887632125673,51.535395652848436
T2,C27,EULS Max,2.125,-1136.160399864854,17.890173446980015,28.88343584243285,0.48302194881150934,60.98157515608691,13.518777078015903
T2,C27,EULS Max,4.25,-1124.6988753398539,17.890173446980015,28.88343584243285,0.48302194881150934,77.13015186787533,22.94736983373704
T2,C27,EULS Min,0,-1663.6216698820604,-16.32871710823025,-51.244170405513,-0.5898446525726685,-148.3810099138359,-46.44967787624154
T2,C27,EULS Min,2.125,-1652.1601453570602,-16.32871710823025,-51.244170405513,-0.5898446525726685,-39.48714780212077,-11.75115402125225
T2,C27,EULS Min,4.25,-1640.6986208320604,-16.32871710823025,-51.244170405513,-0.5898446525726685,-0.39572600908289246,-24.49784149681663
T2,C28,EULS Max,0,-1142.509514264279,18.70699390350935,28.547247119713617,0.48302194881150934,118.9902097973121,52.74668593323268
T2,C28,EULS Max,2.125,-1131.0479897392788,18.70699390350935,28.547247119713617,0.48302194881150934,58.327309667920666,12.994323888275314
T2,C28,EULS Max,4.25,-1119.586465214279,18.70699390350935,28.547247119713617,0.48302194881150934,76.15793418542816,20.873035450793303
T2,C28,EULS Min,0,-1637.3189585419327,-15.579066076637508,-50.12495762102496,-0.5898446525726685,-144.3790602999756,-45.337995374916105
T2,C28,EULS Min,2.125,-1625.8574340169328,-15.579066076637508,-50.12495762102496,-0.5898446525726685,-37.863525355297575,-12.232479962061397
T2,C28,EULS Min,4.25,-1614.3959094919328,-15.579066076637508,-50.12495762102496,-0.5898446525726685,-2.3355904614707654,-26.758038156682055
T2,C29,EULS Max,0,-737.3314944347994,20.509493067044644,28.340791463036716,0.48302194881150934,116.05212902966274,55.153308723091456
T2,C29,EULS Max,2.125,-725.8699699097995,20.509493067044644,28.340791463036716,0.48302194881150934,55.82794717070972,11.952326755892276
T2,C29,EULS Max,4.25,-714.4084453847995,20.509493067044644,28.340791463036716,0.48302194881150934,55.45034143778799,3.931864329489441
T2,C29,EULS Min,0,-1125.428890478452,-9.456636389360241,-42.56564857452502,-0.5898446525726685,-131.0847835604241,-36.25884032529159
T2,C29,EULS Min,2.125,-1113.9673659534521,-9.456636389360241,-42.56564857452502,-0.5898446525726685,-40.632780339558465,-16.163487997901072
T2,C29,EULS Min,4.25,-1102.5058414284522,-9.456636389360241,-42.56564857452502,-0.5898446525726685,-4.396234688243307,-33.65959214347901
T2,C3,EULS Max,0,-1792.7392870365638,15.729228071735761,70.76781933759696,0.48302194881150945,167.45671495819488,50.926246847827436
T2,C3,EULS Max,2.085,-1781.4935088555637,15.729228071735761,70.76781933759696,0.48302194881150945,27.501602319008548,18.806604386495508
T2,C3,EULS Max,4.17,-1770.2477306745639,15.729228071735761,70.76781933759696,0.48302194881150945,-4.998320448900792,55.96659271062752
T2,C3,EULS Min,0,-2433.6900202241745,-28.614491806217664,-21.758330770829296,-0.5898446525726686,-95.73055976325894,-66.37659184100195
T2,C3,EULS Min,2.085,-2422.4442420431747,-28.614491806217664,-21.758330770829296,-0.5898446525726686,-50.82160839592301,-6.870557117110302
T2,C3,EULS Min,4.17,-2411.198463862175,-28.614491806217664,-21.758330770829296,-0.5898446525726686,-128.29307353223308,-14.664634211310688
T2,C30,EULS Max,0,-2789.1026853314174,35.841089896140545,60.6962462556932,0.7766659443937064,189.18073711666827,103.99818333384056
T2,C30,EULS Max,2.25,-2773.9330205189176,35.841089896140545,60.6962462556932,0.7766659443937064,52.61418304135857,23.355731067524328
T2,C30,EULS Max,4.5,-2758.7633557064178,35.841089896140545,60.6962462556932,0.7766659443937064,83.1315192982797,59.220395759808376
T2,C30,EULS Min,0,-3575.629367655536,-34.459534289611966,-57.56600260505981,-0.9484294766793285,-175.91549242448943,-95.84750854344549
T2,C30,EULS Min,2.25,-3560.459702843036,-34.459534289611966,-57.56600260505981,-0.9484294766793285,-46.391986563104865,-18.313556391818548
T2,C30,EULS Min,4.5,-3545.2900380305355,-34.459534289611966,-57.56600260505981,-0.9484294766793285,-83.95237103395112,-57.2867211987919
